source_dataset,local_student_id,year_level,academic_avg_20,semester1_avg_20,semester2_avg_20,course_grade_mean_20,course_grade_std_20,course_grade_min_20,course_grade_max_20,course_count,failed_course_rate,strong_course_rate,low_performance_rate,missing_raw_values_count,attendance_rate_raw,tp_score_20_raw,emd_score_20_raw,self_academic_level_10_raw
annual_deliberation_y1,ADY1_0001,Y1,12.468125,13.19285714,11.90444444,13.375833333333333,2.6948451071471906,9.75,18.0,12,0.08333333333333333,0.4166666666666667,0.0,0,,,,
annual_deliberation_y1,ADY1_0002,Y1,15.878125,15.83285714,15.91333333,15.773333333333332,1.1433311246555216,13.8,17.45,12,0.0,0.8333333333333334,0.0,0,,,,
annual_deliberation_y1,ADY1_0003,Y1,9.071875,12.06071429,6.747222222,9.856666666666667,3.6199933031915283,3.05,14.0,12,0.3333333333333333,0.08333333333333333,0.3333333333333333,0,,,,
annual_deliberation_y1,ADY1_0004,Y1,9.0621875,10.24785714,8.14,10.590833333333334,4.414837500012333,5.0,17.4,12,0.5,0.3333333333333333,0.3333333333333333,0,,,,
annual_deliberation_y1,ADY1_0005,Y1,15.1703125,14.60928571,15.60666667,15.215000000000002,1.5956959154379804,13.45,17.9,12,0.0,0.6666666666666666,0.0,0,,,,
annual_deliberation_y1,ADY1_0006,Y1,13.6275,13.66357143,13.59944444,13.988333333333332,1.62302093938956,11.68,16.6,12,0.0,0.3333333333333333,0.0,0,,,,
annual_deliberation_y1,ADY1_0007,Y1,11.80625,13.38214286,10.58055556,12.245833333333332,3.057674274623929,6.88,17.4,12,0.25,0.3333333333333333,0.08333333333333333,0,,,,
annual_deliberation_y1,ADY1_0008,Y1,11.353125,13.64928571,9.567222222,12.064166666666667,2.68599891130193,7.82,15.9,12,0.25,0.25,0.08333333333333333,0,,,,
annual_deliberation_y1,ADY1_0009,Y1,13.44125,15.30571429,11.99111111,13.696666666666667,2.0293184405936224,9.4,16.25,12,0.08333333333333333,0.5,0.0,0,,,,
annual_deliberation_y1,ADY1_0010,Y1,13.8228125,14.08142857,13.62166667,14.030833333333334,1.1368333877552819,12.37,16.4,12,0.0,0.5,0.0,0,,,,
annual_deliberation_y1,ADY1_0011,Y1,15.4640625,15.225,15.65,15.543333333333331,1.9814151661391062,12.5,18.8,12,0.0,0.75,0.0,0,,,,
annual_deliberation_y1,ADY1_0012,Y1,13.230625,14.18928571,12.485,13.455833333333333,2.178162104048996,10.22,17.83,12,0.0,0.3333333333333333,0.0,0,,,,
annual_deliberation_y1,ADY1_0013,Y1,15.29625,15.90928571,14.81944444,15.44666666666667,1.906378448230778,10.52,17.55,12,0.0,0.8333333333333334,0.0,0,,,,
annual_deliberation_y1,ADY1_0014,Y1,11.218125,11.64285714,10.88777778,11.8125,1.7178640278502304,9.38,15.6,12,0.08333333333333333,0.08333333333333333,0.0,0,,,,
